model,failure_time,disk_id
MA2,2019-03-22 10:24:38,4711
MA2,2019-02-22 04:56:06,82064
MA2,2018-12-17 12:16:33,32311
MA2,2018-05-19 17:32:03,18316
MA2,2018-10-25 04:00:50,32466
MA2,2018-12-20 03:44:54,30501
MA2,2019-03-22 10:28:12,76145
MA2,2019-12-04 10:56:05,21365
MA2,2018-09-10 10:31:22,92125
MA2,2019-01-31 22:14:18,96002
MA2,2019-12-04 05:44:06,116017
MA2,2019-03-22 10:25:49,94480
MA2,2018-08-13 16:44:51,34092
MA2,2018-12-13 14:58:29,40159
MA2,2018-07-30 12:08:57,57982
MA2,2018-05-25 15:38:03,62240
MA2,2018-09-18 15:57:05,60626
MA2,2018-07-13 14:19:40,79793
MA2,2018-12-14 01:19:16,40034
MA2,2018-11-22 18:26:21,113581
MA2,2019-12-09 03:18:07,114300
MA2,2018-09-25 22:36:26,2291
MA2,2019-03-22 10:26:51,64251
MA2,2019-11-27 01:38:05,20122
MA2,2019-03-22 10:27:27,103955
MA2,2018-08-11 13:53:17,119328
MA2,2019-03-22 10:25:24,21295
MA2,2018-09-18 21:10:44,117002
MA2,2019-04-08 13:33:46,95630
MA2,2019-03-22 10:27:27,7098
MA2,2019-03-22 10:26:44,15805
MA2,2019-03-22 10:27:00,62335
MA2,2018-12-07 09:27:12,25413
MA2,2019-03-22 10:26:54,104854
MA2,2019-03-22 10:27:01,99875
MA2,2018-04-17 21:21:09,4905
MA2,2019-03-03 21:10:34,46458
MA2,2018-08-13 16:51:34,68272
MA2,2018-06-26 19:45:01,112693
MA2,2018-09-15 09:36:28,10663
MA2,2018-12-20 09:22:54,39186
MA2,2018-06-28 15:15:06,41897
MA2,2018-08-16 02:04:29,55349
MA2,2018-06-05 14:33:04,89404
MA2,2019-01-07 17:18:27,118747
MA2,2018-08-16 04:49:11,93538
MA2,2019-04-29 16:25:41,65271
MA2,2018-05-07 15:41:07,32
MA2,2018-05-22 20:02:01,90136
MA2,2018-06-14 22:54:02,90870
MA2,2018-01-24 21:15:23,54424
MA2,2018-07-18 18:58:02,67228
MA2,2018-11-21 09:54:09,85394
MA2,2018-11-14 19:54:16,114265
MA2,2018-05-08 16:39:01,49000
MA2,2018-05-08 17:07:44,65987
MA2,2018-09-19 17:56:25,99410
MA2,2018-08-14 13:36:52,52231
MA2,2018-06-12 22:07:02,17160
MA2,2018-04-28 12:21:01,97662
MA2,2018-09-05 13:06:57,6352
MA2,2018-08-13 15:00:50,68776
MA2,2018-12-18 17:57:10,45627
MA2,2018-05-04 02:33:16,97986
MA2,2018-08-13 18:11:38,101272
MA2,2018-07-23 20:24:51,42273
MA2,2018-07-11 12:22:40,90385
MA2,2018-04-28 16:12:04,59085
MA2,2018-05-07 10:48:01,115470
MA2,2018-08-09 04:05:45,30161
MA2,2018-06-14 18:21:21,86215
MA2,2018-12-18 17:33:49,90814
MA2,2018-07-24 23:53:31,77568
MA2,2018-06-06 00:01:01,67145
MA2,2018-06-05 07:04:01,73351
MA2,2018-07-09 21:11:17,12721
